architecture,alpha,train_seed,neighbor_mode,update,mean_success,mean_completion,mean_steps,mean_return,policy_loss,value_loss,entropy
shared,0.0,1,visible,30,1.0,1.0,13.25,5.2050000000000125,-0.01881153841393234,0.22209376534066655,1.215524600462879
shared,0.0,2,visible,1,0.75,0.875,90.25,-0.16499999999997905,-0.012229364914487607,0.07518307577531726,1.602010569366792
shared,0.0,2,visible,2,0.0,0.75,100.0,-1.499999999999976,-0.0066749698118198295,0.045390384250170696,1.5980841199720386
shared,0.0,2,visible,3,0.25,0.75,77.5,-0.14999999999999541,-0.005836939954924117,0.05691787779204293,1.594452096804168
shared,0.0,2,visible,4,0.25,0.8333333333333334,99.75,-0.9849999999999886,-0.004649738258447607,0.061004304278659674,1.5910506490002947
shared,0.0,2,visible,5,0.75,0.875,62.0,1.5300000000000278,-0.006333472330272907,0.07423592626635088,1.5897188706834542
shared,0.0,2,visible,6,0.75,0.9583333333333334,86.75,0.5450000000000084,-0.0059611916363343865,0.09059309113662649,1.589689832440721
shared,0.0,2,visible,7,0.5,0.875,93.75,-0.37499999999997913,-0.0058113742651888555,0.055517107386556644,1.587056989931408
shared,0.0,2,visible,8,0.75,0.9583333333333334,73.0,1.370000000000037,-0.004953441669509667,0.06633390240072277,1.5806557166919037
shared,0.0,2,visible,9,0.5,0.9166666666666667,80.0,0.7000000000000088,-0.00494866969982711,0.07588811039791078,1.5722603457373618
shared,0.0,2,visible,10,0.5,0.875,81.75,0.3450000000000262,-0.006916559757028827,0.054848323722157345,1.5706495525261093
shared,0.0,2,visible,11,0.75,0.9166666666666666,50.5,2.4700000000000166,-0.011460799585567503,0.08934526948896428,1.5596858121635673
shared,0.0,2,visible,12,1.0,1.0,50.25,2.985000000000033,-0.008722628592604491,0.08656591717222659,1.560810048672915
shared,0.0,2,visible,13,0.75,0.9583333333333334,49.75,2.7650000000000285,-0.010890851596148452,0.0704953894189758,1.553983199206987
shared,0.0,2,visible,14,1.0,1.0,31.0,4.140000000000026,-0.017573678305900516,0.09109338184056512,1.5351982427719664
shared,0.0,2,visible,15,1.0,1.0,41.0,3.5400000000000396,-0.016953781438492865,0.08685825734040636,1.526610401671921
shared,0.0,2,visible,16,1.0,1.0,66.75,1.9950000000000547,-0.005377143914995046,0.0559562519970575,1.5242391943363165
