run_id,timestamp_utc,policy,reward_scheme,alpha,seed,n_agents,n_targets,success,steps,targets_collected,completion_rate,total_distance,distance_per_target,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
a008e8d5bd93,2026-09-15T02:53:13.740157+00:00,flocking,weak,0.0,0,6,8,1,16,8,1.0,96,12.0,0.010416666666666666,0,0.0,1.9586099420987808,0.4263091820815447,8.034493749421515,0.20203050891044214,1.1733333333333331
135dc9bb0a4d,2026-09-15T02:53:13.743338+00:00,flocking,weak,0.0,1,6,8,1,11,8,1.0,54,6.75,0.018518518518518517,20,0.30303030303030304,1.510964002541658,0.42729711549430305,8.048623588099518,0.7026743483530378,1.2233333333333332
41f91b768933,2026-09-15T02:53:13.745532+00:00,flocking,weak,0.0,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,1.2533333333333332
12b14320a837,2026-09-15T02:53:13.748814+00:00,flocking,weak,0.0,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7492174991347922,0.5420351695611497,5.892721336148372,0.5345224838248487,1.2133333333333332
84f2c2b28752,2026-09-15T02:53:13.753384+00:00,flocking,weak,0.0,4,6,8,1,17,8,1.0,94,11.75,0.010638297872340425,14,0.13725490196078433,1.6622415925606622,0.5342968558598478,8.750311343281012,0.5779829341872648,1.163333333333333
cb33289e1d53,2026-09-15T02:53:13.758449+00:00,flocking,weak,0.0,5,6,8,1,19,8,1.0,114,14.25,0.008771929824561403,9,0.07894736842105263,1.9320164329373077,0.2839954482084632,7.727565746968688,0.47380354147934284,1.1433333333333333
907cb1671e96,2026-09-15T02:53:13.765443+00:00,flocking,weak,0.0,6,6,8,1,25,8,1.0,120,15.0,0.008333333333333333,30,0.2,1.7200466784292925,0.4441253482524997,8.914632054438341,0.46140072063229376,1.083333333333333
11d04a4ccfcc,2026-09-15T02:53:13.771222+00:00,flocking,weak,0.0,7,6,8,1,22,8,1.0,132,16.5,0.007575757575757576,0,0.0,1.7964088640745233,0.5527435727248149,6.500096148011,0.47380354147934284,1.113333333333333
44e4000436b2,2026-09-15T02:53:13.774740+00:00,flocking,weak,0.0,8,6,8,1,13,8,1.0,77,9.625,0.012987012987012988,5,0.0641025641025641,1.7435347409427222,0.4971123339032518,8.860740196421,0.3239001813723725,1.2033333333333331
677debd728a9,2026-09-15T02:53:13.780611+00:00,flocking,weak,0.0,9,6,8,1,22,8,1.0,102,12.75,0.00980392156862745,43,0.32575757575757575,1.3053471030236117,0.6266883198841542,7.498611676141439,0.9192882212928511,1.113333333333333
