run_id,timestamp_utc,policy,reward_scheme,alpha,seed,n_agents,n_targets,success,steps,targets_collected,completion_rate,total_distance,distance_per_target,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
07a53b0b5803,2026-09-15T02:53:13.582646+00:00,greedy,weak,0.0,1,6,8,1,11,8,1.0,66,8.25,0.015151515151515152,11,0.16666666666666666,1.9067600917647214,0.3814790512429244,7.884100719645571,0.40406101782088427,1.2233333333333334
c3385b2684e5,2026-09-15T02:53:13.584739+00:00,greedy,weak,0.0,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,1.2533333333333332
da0e24b7a944,2026-09-15T02:53:13.587739+00:00,greedy,weak,0.0,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7680881674441833,0.5304001370634883,5.824540848982566,0.5345224838248487,1.2133333333333332
71dbe0db8726,2026-09-15T02:53:13.590268+00:00,greedy,weak,0.0,4,6,8,1,10,8,1.0,60,7.5,0.016666666666666666,3,0.05,1.8901074801412552,0.3134972782429222,8.782250197912601,0.40406101782088427,1.2333333333333332
28823829c235,2026-09-15T02:53:13.595624+00:00,greedy,weak,0.0,5,6,8,1,23,8,1.0,138,17.25,0.007246376811594203,8,0.057971014492753624,1.8532403909745012,0.537160084708749,6.044115438865305,0.47380354147934284,1.1033333333333333
358d06189712,2026-09-15T02:53:13.599679+00:00,greedy,weak,0.0,6,6,8,1,17,8,1.0,102,12.75,0.00980392156862745,5,0.049019607843137254,1.9007202161803232,0.4823919046762942,8.046217480610936,0.31943828249996986,1.163333333333333
3147be90b413,2026-09-15T02:53:13.604501+00:00,greedy,weak,0.0,7,6,8,1,21,8,1.0,126,15.75,0.007936507936507936,0,0.0,1.6860060866207174,0.6586558471490415,6.110077081167498,0.40406101782088427,1.123333333333333
5659ca2949f7,2026-09-15T02:53:13.607858+00:00,greedy,weak,0.0,8,6,8,1,13,8,1.0,78,9.75,0.01282051282051282,5,0.0641025641025641,1.6970139434966216,0.523638883372844,8.142389728806101,0.31943828249996986,1.2033333333333331
9e2efa12925d,2026-09-15T02:53:13.610002+00:00,greedy,weak,0.0,9,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,13,0.2708333333333333,1.6755548868930705,0.5978372127489168,7.155561270369285,0.5890150893739515,1.2533333333333332
49c271f27fc6,2026-09-15T02:53:13.612808+00:00,greedy,weak,0.25,0,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.9809256184491058,0.4428668829700513,8.761211795019005,0.20203050891044214,2.880000000000001
e2a498c18cb7,2026-09-15T02:53:13.615531+00:00,greedy,weak,0.25,1,6,8,1,11,8,1.0,66,8.25,0.015151515151515152,11,0.16666666666666666,1.9067600917647214,0.3814790512429244,7.884100719645571,0.40406101782088427,2.8900000000000006
b45a29fbf817,2026-09-15T02:53:13.617654+00:00,greedy,weak,0.25,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,2.920000000000001
604c4b3cca6c,2026-09-15T02:53:13.620429+00:00,greedy,weak,0.25,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7680881674441833,0.5304001370634883,5.824540848982566,0.5345224838248487,2.880000000000001
552783ccb78e,2026-09-15T02:53:13.623033+00:00,greedy,weak,0.25,4,6,8,1,10,8,1.0,60,7.5,0.016666666666666666,3,0.05,1.8901074801412552,0.3134972782429222,8.782250197912601,0.40406101782088427,2.9000000000000004
4138b735eb00,2026-09-15T02:53:13.628078+00:00,greedy,weak,0.25,5,6,8,1,23,8,1.0,138,17.25,0.007246376811594203,8,0.057971014492753624,1.8532403909745012,0.537160084708749,6.044115438865305,0.47380354147934284,2.770000000000003
b77863c51967,2026-09-15T02:53:13.631928+00:00,greedy,weak,0.25,6,6,8,1,17,8,1.0,102,12.75,0.00980392156862745,5,0.049019607843137254,1.9007202161803232,0.4823919046762942,8.046217480610936,0.31943828249996986,2.830000000000001
8f9a006caa6d,2026-09-15T02:53:13.636517+00:00,greedy,weak,0.25,7,6,8,1,21,8,1.0,126,15.75,0.007936507936507936,0,0.0,1.6860060866207174,0.6586558471490415,6.110077081167498,0.40406101782088427,2.7900000000000027
352f274cdd92,2026-09-15T02:53:13.639503+00:00,greedy,weak,0.25,8,6,8,1,13,8,1.0,78,9.75,0.01282051282051282,5,0.0641025641025641,1.6970139434966216,0.523638883372844,8.142389728806101,0.31943828249996986,2.870000000000001
9a2096ca72f6,2026-09-15T02:53:13.641445+00:00,greedy,weak,0.25,9,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,13,0.2708333333333333,1.6755548868930705,0.5978372127489168,7.155561270369285,0.5890150893739515,2.92
fc2293cf2786,2026-09-15T02:53:13.644251+00:00,greedy,weak,0.5,0,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.9809256184491058,0.4428668829700513,8.761211795019005,0.20203050891044214,4.546666666666668
d6c711ccd4f5,2026-09-15T02:53:13.646849+00:00,greedy,weak,0.5,1,6,8,1,11,8,1.0,66,8.25,0.015151515151515152,11,0.16666666666666666,1.9067600917647214,0.3814790512429244,7.884100719645571,0.40406101782088427,4.5566666666666675
e7febf3c7f92,2026-09-15T02:53:13.648774+00:00,greedy,weak,0.5,2,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,0,0.0,1.9324799544077593,0.296528030667372,8.462522731956874,0.5890150893739515,4.586666666666668
e07131e234ab,2026-09-15T02:53:13.651832+00:00,greedy,weak,0.5,3,6,8,1,12,8,1.0,72,9.0,0.013888888888888888,0,0.0,1.7680881674441833,0.5304001370634883,5.824540848982566,0.5345224838248487,4.546666666666669
d142fc387f8f,2026-09-15T02:53:13.654209+00:00,greedy,weak,0.5,4,6,8,1,10,8,1.0,60,7.5,0.016666666666666666,3,0.05,1.8901074801412552,0.3134972782429222,8.782250197912601,0.40406101782088427,4.566666666666667
be055071b06a,2026-09-15T02:53:13.659259+00:00,greedy,weak,0.5,5,6,8,1,23,8,1.0,138,17.25,0.007246376811594203,8,0.057971014492753624,1.8532403909745012,0.537160084708749,6.044115438865305,0.47380354147934284,4.43666666666667
34bb0af37fe5,2026-09-15T02:53:13.663097+00:00,greedy,weak,0.5,6,6,8,1,17,8,1.0,102,12.75,0.00980392156862745,5,0.049019607843137254,1.9007202161803232,0.4823919046762942,8.046217480610936,0.31943828249996986,4.496666666666669
eb478874c41b,2026-09-15T02:53:13.667689+00:00,greedy,weak,0.5,7,6,8,1,21,8,1.0,126,15.75,0.007936507936507936,0,0.0,1.6860060866207174,0.6586558471490415,6.110077081167498,0.40406101782088427,4.456666666666669
adaed6df4472,2026-09-15T02:53:13.670642+00:00,greedy,weak,0.5,8,6,8,1,13,8,1.0,78,9.75,0.01282051282051282,5,0.0641025641025641,1.6970139434966216,0.523638883372844,8.142389728806101,0.31943828249996986,4.536666666666668
cb274746d6a8,2026-09-15T02:53:13.672575+00:00,greedy,weak,0.5,9,6,8,1,8,8,1.0,48,6.0,0.020833333333333332,13,0.2708333333333333,1.6755548868930705,0.5978372127489168,7.155561270369285,0.5890150893739515,4.586666666666667
