architecture,alpha,train_seed,evaluation_seed,neighbor_mode,success,steps,completion_rate,total_distance,coordination_efficiency,attempted_collisions,collision_rate,action_entropy,spatial_order,mean_interagent_distance,role_differentiation,team_return
independent,0.5,1,101,visible,1,11,1.0,40,0.025,0,0.0,2.147348876143517,0.5151756361900591,5.652609857253278,0.7751939088367598,20.340000000000003
independent,0.5,1,102,visible,0,100,0.5,162,0.0,2,0.0033333333333333335,1.8346185364927157,0.8918888427496288,6.281117252510394,0.9799172237828547,4.500000000000006
independent,0.5,1,103,visible,0,100,0.5,222,0.0,2,0.0033333333333333335,1.8751925267604874,0.031102426943419616,5.703790163832263,0.7684261233239341,4.500000000000004
independent,0.5,1,104,visible,0,100,0.6666666666666666,222,0.0,93,0.155,1.5653314528933915,0.6873776280402327,6.0761238611392265,0.7847306242164906,7.999999999999953
independent,0.5,2,100,visible,0,100,0.5,138,0.0,0,0.0,1.6109998518677573,0.935946148842485,5.459581486891114,1.4852541394102023,4.500000000000006
independent,0.5,2,101,visible,0,100,0.3333333333333333,399,0.0,1,0.0016666666666666668,1.9229764023617968,0.6672978552096539,5.701794996700314,0.5679980033622387,1.0000000000000142
independent,0.5,2,102,visible,0,100,0.3333333333333333,325,0.0,2,0.0033333333333333335,1.7597575711516547,0.37344357676403817,6.265687246994975,0.8157830844141883,1.0000000000000115
independent,0.5,2,103,visible,0,100,0.16666666666666666,217,0.0,96,0.16,1.8579162116089174,0.022031886516101266,5.989805218388601,0.9248929463213901,-2.500000000000004
independent,0.5,2,104,visible,0,100,0.6666666666666666,58,0.0,5,0.008333333333333333,1.863481975242376,0.05496470413587188,5.827170323695702,0.924679575656452,7.999999999999955
independent,0.75,0,100,visible,0,100,0.3333333333333333,117,0.0,0,0.0,1.7915245773761357,0.9837310682800794,6.284878307736604,1.4522591754487284,3.5000000000000155
independent,0.75,0,101,visible,0,100,0.0,24,0.0,3,0.005,1.5997168062347482,0.07549537379838987,6.50071340984935,0.75,-5.99999999999999
independent,0.75,0,102,visible,0,100,0.0,23,0.0,95,0.15833333333333333,1.4753441630685766,0.06395637532372814,4.205954093962403,0.7130964985589879,-5.99999999999999
